,Year,Min,Max,Avg
0,2003,81386.31,87739.16,84326.4
1,2004,88168.94,101127.79,93602.12
2,2005,102830.02,113325.22,106216.14
3,2006,115465.33,131842.59,125615.11
4,2007,131884.94,138661.88,134824.49
5,2008,137424.51,143849.53,139951.77
6,2009,134155.23,142767.58,139032.27
7,2010,131891.13,133853.75,132928.03
8,2011,119276.39,131013.35,125712.57
9,2012,119265.37,120947.86,120470.02
10,2013,120940.99,123143.67,122533.1
11,2014,122197.52,123654.38,122915.89
12,2015,123352.69,126708.17,125080.6
13,2016,126021.61,129613.19,127622.92
14,2017,128476.32,134196.0,130589.73
15,2018,135109.01,142215.97,139136.19
16,2019,142408.51,151124.71,146727.92
17,2020,151606.02,164192.92,156072.89
18,2021,166847.28,183506.36,177988.53
19,2022,185143.13,206481.89,198818.73
20,2023,205033.35,213444.66,208347.2
