Year,RegionName,Value
2003,Lansingburgh,90851.64444000369
2004,Lansingburgh,97918.45051013473
2005,Lansingburgh,114031.35673665791
2006,Lansingburgh,129387.41373116203
2007,Lansingburgh,142154.76090510032
2008,Lansingburgh,144648.96158101008
2009,Lansingburgh,139608.72111789804
2010,Lansingburgh,136484.4488574874
2011,Lansingburgh,130089.59415769934
2012,Lansingburgh,117784.84982622186
2013,Lansingburgh,115039.82145265127
2014,Lansingburgh,113369.50181086047
2015,Lansingburgh,114316.76593111892
2016,Lansingburgh,116426.83488810681
2017,Lansingburgh,117571.88824324102
2018,Lansingburgh,126281.15728187398
2019,Lansingburgh,131963.32420905717
2020,Lansingburgh,141257.86282918544
2021,Lansingburgh,158310.5689358108
2022,Lansingburgh,177127.10450614372
2023,Lansingburgh,182635.0918324143
2003,South Troy,84326.39749236232
2004,South Troy,93602.12362666281
2005,South Troy,106216.14163387031
2006,South Troy,125615.10852961631
2007,South Troy,134824.49097915157
2008,South Troy,139951.76953272257
2009,South Troy,139032.2716578669
2010,South Troy,132928.03374653697
2011,South Troy,125712.57350192913
2012,South Troy,120470.0216559893
2013,South Troy,122533.10352876736
2014,South Troy,122915.89228065625
2015,South Troy,125080.59798775888
2016,South Troy,127622.91775425216
2017,South Troy,130589.7273220847
2018,South Troy,139136.19461687448
2019,South Troy,146727.92136741846
2020,South Troy,156072.88755427403
2021,South Troy,177988.5265819413
2022,South Troy,198818.72733251832
2023,South Troy,208347.20183579717
2003,Eastside,102861.45560894051
2004,Eastside,110339.60086610679
2005,Eastside,125039.2204797811
2006,Eastside,143431.75988984786
2007,Eastside,157352.25111521268
2008,Eastside,161739.8619362314
2009,Eastside,164560.9145964446
2010,Eastside,163050.2041260832
2011,Eastside,155319.07215382956
2012,Eastside,152368.41824988046
2013,Eastside,152907.12474584673
2014,Eastside,157221.65284300962
2015,Eastside,160160.71423414326
2016,Eastside,160777.6435353559
2017,Eastside,164087.89400241882
2018,Eastside,171009.19097642045
2019,Eastside,176772.37372868173
2020,Eastside,185661.3671969944
2021,Eastside,209764.3039009675
2022,Eastside,234048.04502163283
2023,Eastside,243997.89475317704
2003,The Hill,91148.7743254815
2004,The Hill,103362.99668533653
2005,The Hill,106725.78940036458
2006,The Hill,121841.0129911058
2007,The Hill,137033.12762746718
2008,The Hill,142164.05656053207
2009,The Hill,144871.75386531654
2010,The Hill,138670.04435527377
2011,The Hill,127802.7591414599
2012,The Hill,125828.81441329319
2013,The Hill,125352.76156235742
2014,The Hill,123611.37541089008
2015,The Hill,129554.16969133781
2016,The Hill,132490.14425985378
2017,The Hill,134118.44818793953
2018,The Hill,142282.42418120048
2019,The Hill,150021.49588495414
2020,The Hill,159865.27462985218
2021,The Hill,179721.54576859126
2022,The Hill,198226.81308160222
2023,The Hill,204572.64390909683
2003,Downtown,125730.36693461753
2004,Downtown,138035.43683722682
2005,Downtown,157462.57888398573
2006,Downtown,183037.23845972357
2007,Downtown,200823.28206013123
2008,Downtown,217097.7058144318
